year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author
1910,1.0556348074179742,3,94.72182596291013,4.992867332382311,0.28530670470756064,0.0,0.0,701,372,98.21428571428571
1911,1.0713153724247226,3,93.18541996830427,6.497622820919176,0.31695721077654515,0.0,0.0,631,351,96.21409921671018
1912,1.0882882882882883,8,93.33333333333333,5.945945945945946,0.36036036036036034,0.0,0.36036036036036034,555,332,92.76485788113695
1913,1.084717607973422,4,92.69102990033223,6.312292358803987,0.8305647840531561,0.16611295681063123,0.0,602,366,91.23337363966142
1914,1.0672782874617737,4,94.03669724770643,5.351681957186544,0.45871559633027525,0.1529051987767584,0.0,654,371,84.71849865951742
1915,1.0831509846827134,3,92.5601750547046,6.564551422319475,0.87527352297593,0.0,0.0,457,275,91.47442326980944
1916,1.1147186147186148,4,91.12554112554112,6.4935064935064934,2.1645021645021645,0.21645021645021645,0.0,462,256,97.56871035940803
1917,1.1009174311926606,3,90.36697247706422,9.174311926605505,0.45871559633027525,0.0,0.0,436,252,94.76650563607086
1918,1.078125,4,93.30357142857143,5.803571428571429,0.6696428571428571,0.22321428571428573,0.0,448,245,91.70305676855895
1919,1.111531190926276,7,90.54820415879017,8.695652173913043,0.3780718336483932,0.1890359168241966,0.1890359168241966,529,299,55.23861766319254
1920,1.0877551020408163,4,91.83673469387755,7.755102040816326,0.20408163265306123,0.20408163265306123,0.0,490,301,91.17959617428268
1921,1.1259398496240602,4,88.90977443609023,9.962406015037594,0.7518796992481203,0.37593984962406013,0.0,532,333,64.42786069651741
1922,1.1047957371225576,6,90.76376554174068,8.52575488454707,0.5328596802841918,0.0,0.17761989342806395,563,353,93.88696655132641
1923,1.1311475409836065,3,87.90983606557377,11.065573770491802,1.0245901639344261,0.0,0.0,488,335,75.74819401444789
1924,1.115085536547434,7,90.51321928460342,8.398133748055988,0.7776049766718507,0.0,0.3110419906687403,643,390,96.41086186540733
1925,1.1036906854130053,4,90.68541300527241,8.43585237258348,0.70298769771529,0.1757469244288225,0.0,569,366,64.71183013144591
1926,1.0915254237288134,3,92.03389830508475,6.779661016949152,1.1864406779661016,0.0,0.0,590,373,91.65114835505896
1927,1.139622641509434,4,88.86792452830188,8.679245283018869,2.0754716981132075,0.37735849056603776,0.0,530,367,87.5
1928,1.1498257839721255,6,87.8048780487805,10.104529616724738,1.7421602787456445,0.17421602787456447,0.17421602787456447,574,404,74.30453879941435
1929,1.1341911764705883,4,88.05147058823529,10.661764705882353,1.1029411764705883,0.18382352941176472,0.0,544,382,76.37749120750293
1930,1.1151832460732984,5,90.22687609075044,8.551483420593367,0.8726003490401396,0.17452006980802792,0.17452006980802792,573,377,84.03458213256484
1931,1.0976430976430978,3,91.24579124579125,7.744107744107744,1.0101010101010102,0.0,0.0,594,375,85.48972188633616
1932,1.1168384879725086,3,89.69072164948453,8.934707903780069,1.3745704467353952,0.0,0.0,582,390,82.04400283889284
1933,1.1340388007054674,3,87.1252204585538,12.345679012345679,0.5291005291005291,0.0,0.0,567,375,86.11575777852124
1934,1.1065182829888711,3,90.46104928457869,8.426073131955485,1.1128775834658187,0.0,0.0,629,409,89.86068111455108
1935,1.1359060402684564,5,88.08724832214764,10.738255033557047,0.8389261744966443,0.16778523489932887,0.16778523489932887,596,430,78.0154486036839
1936,1.113323124042879,3,89.2802450229709,10.10719754977029,0.6125574272588055,0.0,0.0,653,439,92.97784453623733
1937,1.1396103896103895,4,88.14935064935065,10.227272727272727,1.1363636363636365,0.487012987012987,0.0,616,417,80.8689024390244
1938,1.1628721541155866,3,85.28896672504378,13.134851138353765,1.5761821366024518,0.0,0.0,571,414,62.214765100671144
1939,1.1337325349301397,3,89.02195608782435,8.582834331337326,2.395209580838323,0.0,0.0,501,378,81.3379412490743
1940,1.1801075268817205,3,84.13978494623656,13.709677419354838,2.150537634408602,0.0,0.0,372,306,70.3653123933083
1941,1.2011173184357542,4,83.24022346368714,14.245810055865922,1.675977653631285,0.8379888268156425,0.0,358,263,56.02094240837696
1942,1.2125748502994012,4,81.437125748503,16.167664670658684,2.095808383233533,0.2994011976047904,0.0,334,248,73.90332495110366
1943,1.185430463576159,4,83.11258278145695,15.562913907284768,0.9933774834437086,0.33112582781456956,0.0,302,221,83.31824354911724
1944,1.1526717557251909,4,87.02290076335878,11.068702290076336,1.5267175572519085,0.3816793893129771,0.0,262,177,57.75460394941202
1945,1.2024793388429753,3,81.81818181818181,16.115702479338843,2.0661157024793386,0.0,0.0,242,172,81.31588513267903
1946,1.1947194719471947,4,82.83828382838284,15.181518151815181,1.6501650165016502,0.33003300330033003,0.0,303,218,80.23774145616642
1947,1.216763005780347,5,84.39306358381504,10.982658959537572,3.468208092485549,0.8670520231213873,0.28901734104046245,346,267,80.27491408934708
1948,1.1858823529411764,3,83.52941176470588,14.352941176470589,2.1176470588235294,0.0,0.0,425,302,74.03092990560353
1949,1.2494172494172495,4,78.55477855477855,18.181818181818183,3.0303030303030303,0.2331002331002331,0.0,429,336,73.0949948927477
